country,placename,end_date,deaths,expected_deaths,excess_deaths
Austria,,2020-01-12,1702,1814,-112
Austria,,2020-01-19,1797,1824,-27
Austria,,2020-01-26,1778,1832,-54
Austria,,2020-02-02,1947,1836,111
Austria,,2020-02-09,1678,1835,-157
Austria,,2020-02-16,1721,1826,-105
Austria,,2020-02-23,1715,1809,-94
Austria,,2020-03-01,1768,1784,-16
Austria,,2020-03-08,1744,1754,-10
Austria,,2020-03-15,1718,1719,-1
Austria,,2020-03-22,1836,1681,155
Austria,,2020-03-29,1764,1644,120
Austria,,2020-04-05,1828,1607,221
Austria,,2020-04-12,1793,1573,220
Austria,,2020-04-19,1701,1542,159
Austria,,2020-04-26,1583,1514,69
Austria,,2020-05-03,1477,1489,-12
Austria,,2020-05-10,1510,1469,41
Austria,,2020-05-17,1475,1452,23
Austria,,2020-05-24,1468,1440,28
Austria,,2020-05-31,1407,1433,-26
Austria,,2019-01-13,1709,,
Austria,,2019-01-20,1641,,
Austria,,2019-01-27,1713,,
Austria,,2019-02-03,1732,,
Austria,,2019-02-10,1796,,
Austria,,2019-02-17,1820,,
Austria,,2019-02-24,1751,,
Austria,,2019-03-03,1764,,
Austria,,2019-03-10,1811,,
Austria,,2019-03-17,1790,,
Austria,,2019-03-24,1619,,
Austria,,2019-03-31,1651,,
Austria,,2019-04-07,1607,,
Austria,,2019-04-14,1556,,
Austria,,2019-04-21,1558,,
Austria,,2019-04-28,1521,,
Austria,,2019-05-05,1462,,
Austria,,2019-05-12,1453,,
Austria,,2019-05-19,1558,,
Austria,,2019-05-26,1497,,
Austria,,2019-06-02,1495,,
Austria,,2019-06-09,1520,,
Austria,,2019-06-16,1554,,
Austria,,2019-06-23,1424,,
Austria,,2019-06-30,1454,,
Austria,,2019-07-07,1507,,
Austria,,2019-07-14,1338,,
Austria,,2019-07-21,1430,,
Austria,,2019-07-28,1557,,
Austria,,2019-08-04,1457,,
Austria,,2019-08-11,1406,,
Austria,,2019-08-18,1407,,
Austria,,2019-08-25,1453,,
Austria,,2019-09-01,1501,,
Austria,,2019-09-08,1423,,
Austria,,2019-09-15,1407,,
Austria,,2019-09-22,1452,,
Austria,,2019-09-29,1574,,
Austria,,2019-10-06,1555,,
Austria,,2019-10-13,1592,,
Austria,,2019-10-20,1497,,
Austria,,2019-10-27,1545,,
Austria,,2019-11-03,1536,,
Austria,,2019-11-10,1555,,
Austria,,2019-11-17,1558,,
Austria,,2019-11-24,1553,,
Austria,,2019-12-01,1586,,
Austria,,2019-12-08,1599,,
Austria,,2019-12-15,1667,,
Austria,,2019-12-22,1591,,
Austria,,2018-01-14,1842,,
Austria,,2018-01-21,1786,,
Austria,,2018-01-28,1714,,
Austria,,2018-02-04,1870,,
Austria,,2018-02-11,1938,,
Austria,,2018-02-18,1881,,
Austria,,2018-02-25,1951,,
Austria,,2018-03-04,2021,,
Austria,,2018-03-11,1965,,
Austria,,2018-03-18,1946,,
Austria,,2018-03-25,1641,,
Austria,,2018-04-01,1766,,
Austria,,2018-04-08,1617,,
Austria,,2018-04-15,1560,,
Austria,,2018-04-22,1557,,
Austria,,2018-04-29,1383,,
Austria,,2018-05-06,1434,,
Austria,,2018-05-13,1372,,
Austria,,2018-05-20,1342,,
Austria,,2018-05-27,1383,,
Austria,,2018-06-03,1415,,
Austria,,2018-06-10,1433,,
Austria,,2018-06-17,1392,,
Austria,,2018-06-24,1401,,
Austria,,2018-07-01,1414,,
Austria,,2018-07-08,1441,,
Austria,,2018-07-15,1404,,
Austria,,2018-07-22,1511,,
Austria,,2018-07-29,1455,,
Austria,,2018-08-05,1615,,
Austria,,2018-08-12,1532,,
Austria,,2018-08-19,1430,,
Austria,,2018-08-26,1460,,
Austria,,2018-09-02,1414,,
Austria,,2018-09-09,1376,,
Austria,,2018-09-16,1452,,
Austria,,2018-09-23,1421,,
Austria,,2018-09-30,1436,,
Austria,,2018-10-07,1553,,
Austria,,2018-10-14,1509,,
Austria,,2018-10-21,1488,,
Austria,,2018-10-28,1491,,
Austria,,2018-11-04,1561,,
Austria,,2018-11-11,1501,,
Austria,,2018-11-18,1556,,
Austria,,2018-11-25,1531,,
Austria,,2018-12-02,1525,,
Austria,,2018-12-09,1656,,
Austria,,2018-12-16,1626,,
Austria,,2018-12-23,1639,,
Austria,,2017-01-15,2340,,
Austria,,2017-01-22,2060,,
Austria,,2017-01-29,1938,,
Austria,,2017-02-05,2045,,
Austria,,2017-02-12,1874,,
Austria,,2017-02-19,1750,,
Austria,,2017-02-26,1807,,
Austria,,2017-03-05,1696,,
Austria,,2017-03-12,1614,,
Austria,,2017-03-19,1542,,
Austria,,2017-03-26,1535,,
Austria,,2017-04-02,1489,,
Austria,,2017-04-09,1537,,
Austria,,2017-04-16,1532,,
Austria,,2017-04-23,1475,,
Austria,,2017-04-30,1440,,
Austria,,2017-05-07,1527,,
Austria,,2017-05-14,1434,,
Austria,,2017-05-21,1501,,
Austria,,2017-05-28,1327,,
Austria,,2017-06-04,1456,,
Austria,,2017-06-11,1312,,
Austria,,2017-06-18,1421,,
Austria,,2017-06-25,1476,,
Austria,,2017-07-02,1419,,
Austria,,2017-07-09,1413,,
Austria,,2017-07-16,1346,,
Austria,,2017-07-23,1475,,
Austria,,2017-07-30,1375,,
Austria,,2017-08-06,1616,,
Austria,,2017-08-13,1334,,
Austria,,2017-08-20,1380,,
Austria,,2017-08-27,1472,,
Austria,,2017-09-03,1329,,
Austria,,2017-09-10,1318,,
Austria,,2017-09-17,1426,,
Austria,,2017-09-24,1407,,
Austria,,2017-10-01,1496,,
Austria,,2017-10-08,1481,,
Austria,,2017-10-15,1529,,
Austria,,2017-10-22,1453,,
Austria,,2017-10-29,1489,,
Austria,,2017-11-05,1551,,
Austria,,2017-11-12,1490,,
Austria,,2017-11-19,1505,,
Austria,,2017-11-26,1570,,
Austria,,2017-12-03,1531,,
Austria,,2017-12-10,1632,,
Austria,,2017-12-17,1554,,
Austria,,2017-12-24,1653,,
Austria,,2016-01-17,1626,,
Austria,,2016-01-24,1608,,
Austria,,2016-01-31,1578,,
Austria,,2016-02-07,1609,,
Austria,,2016-02-14,1650,,
Austria,,2016-02-21,1621,,
Austria,,2016-02-28,1581,,
Austria,,2016-03-06,1714,,
Austria,,2016-03-13,1532,,
Austria,,2016-03-20,1516,,
Austria,,2016-03-27,1499,,
Austria,,2016-04-03,1598,,
Austria,,2016-04-10,1562,,
Austria,,2016-04-17,1520,,
Austria,,2016-04-24,1413,,
Austria,,2016-05-01,1460,,
Austria,,2016-05-08,1447,,
Austria,,2016-05-15,1486,,
Austria,,2016-05-22,1453,,
Austria,,2016-05-29,1505,,
Austria,,2016-06-05,1402,,
Austria,,2016-06-12,1360,,
Austria,,2016-06-19,1348,,
Austria,,2016-06-26,1452,,
Austria,,2016-07-03,1338,,
Austria,,2016-07-10,1328,,
Austria,,2016-07-17,1323,,
Austria,,2016-07-24,1458,,
Austria,,2016-07-31,1424,,
Austria,,2016-08-07,1390,,
Austria,,2016-08-14,1359,,
Austria,,2016-08-21,1394,,
Austria,,2016-08-28,1408,,
